x,y,target
-0.8053582076526535,-0.4798805795453657,1
-0.868575014258571,-0.04575184933273509,0
-0.019230812034627235,0.07590426774378022,1
0.8755590051551863,-0.6429519019084847,0
0.10882949558744759,0.5890811617410988,0
0.33943217217526556,-0.5339750494727614,1
0.3094822841091609,0.7451145536971615,0
0.70912144266236,0.40921250411972254,0
-0.0263649377889979,0.5373244641576296,1
-0.005154258450563873,0.037002050002767746,1
0.3758894156378884,0.39242089108156325,0
0.023799006190550184,0.7837583534238919,0
-0.12573638657183017,-0.03949323238275855,0
-0.7987618127299096,-0.3317666621489377,1
-0.2950078864808944,0.2916906415533598,0
0.23013311191877628,-0.8920727087076417,1
-0.12575693250447825,0.12349377358278317,1
-0.8739978624582491,0.2708130361806549,0
-0.036029440013745764,0.3078221851464592,1
0.27690641701238916,-0.5714199417984129,1
0.042144740248384605,-0.5930153338216388,1
0.4410138424684638,-0.537556938754224,0
-0.5584944876543685,-0.12002943745276431,0
-0.22108762988587088,-0.036068585589053376,0
-0.0011109619767469409,-0.32985738787841284,0
0.5163702012258147,0.47054051365995325,1
0.6195636599353671,-0.8424023767051398,0
0.08463287882852619,0.43863173712440795,1
0.6348545503096759,0.4462222598876039,0
-0.060655683660535406,-0.0035151092649497936,1
0.3351710987042589,0.7211453754447619,1
-0.26723089815366824,0.21396404647409645,1
0.01793656168815483,0.5825191071091219,0
-0.7024919556893202,-0.4627628046799833,1
-0.6257752920055282,0.21520628326313232,0
-0.16482683717195257,-0.9759971215543825,0
-0.10995724212903962,0.11144404148459316,0
-0.11562942436017824,0.0331810976614642,0
0.05101613821910009,-0.06222196534994568,0
-0.37307244400290274,-0.07761064691544979,0
0.10406210207541473,-0.12460721504228518,0
-0.4745622497855841,0.4332758780083714,1
0.2964312831546443,0.11878173387221665,0
-0.1309386221322971,0.7660710711295146,0
0.07088065133623149,0.029977119764411274,1
-0.05381206473011026,-0.14386981271663446,1
-0.5508098995387123,-0.4169095102013003,0
-0.05002632670291432,0.18675192320407058,0
0.20236768127550522,0.070939671548117,0
-0.47337939430943854,0.09819300599503328,1
0.3088067555792377,-0.4055915966093795,0
0.45824074879451027,-0.17905631327521027,0
-0.004262802068719269,-0.19563671698819107,1
0.39245572229531,0.2556990779398914,0
0.2008535815150384,0.14205062470426993,0
0.03563429452533773,0.10761891006092343,1
0.79694262023827,0.05228080785349883,1
0.03191233995135669,-0.017009888808060904,1
-0.013580740618564811,-0.16724228730464577,0
0.29497133162215183,-0.9880617010983959,0
-0.6991928522832639,-0.13362557789207744,1
-0.5513059219017276,0.2611945931174671,0
-0.20071505938622886,-0.12420175107945655,1
-0.3130707653926844,0.3538051420967783,1
0.4879150465808792,0.5494178696945958,0
-0.2772971614840817,-0.2641526241451144,1
-0.10773321299646525,-0.1722146809396614,1
-0.3037939299222123,0.1255852802577359,0
-0.36870015734615574,0.07251284073872269,1
0.09331226667042927,0.21725312048577716,1
0.38800161648322257,-0.1343516761870392,0
0.02454193925090136,-0.026738320334476085,1
-0.10664509684955943,-0.36486249081674565,0
0.41031740163540215,-0.2338187936538565,1
-0.2118080488607155,0.23596017425990914,0
-0.2823741797044969,0.2892690435854736,1
-0.1837457302474313,-0.16766049633966956,1
0.3755835597041463,-0.46398080365813466,1
-0.15592814073370082,0.0064212025097749245,0
-0.14129930330495885,-0.04497344091857623,1
-0.061931252905096094,0.10077289098859105,0
-0.06959122470299114,0.13155989399310467,0
-0.26836826931762126,-0.0489440539878597,1
0.2737311746885246,-1.0258195595748236,1
0.06409727700975577,-0.028395945230766176,1
